Date,Open,High,Low,Close,Volume
2025-05-05,137.45,230.38,93.89,111.96,388249
2025-05-06,195.07,208.53,92.71,171.32,175766
2025-05-07,173.2,203.25,98.29,176.08,144262
2025-05-08,159.87,247.44,93.57,156.13,487261
2025-05-09,115.6,248.28,92.81,177.1,385920
2025-05-10,115.6,240.42,95.43,149.38,261152
2025-05-11,105.81,215.23,91.41,152.27,228376
2025-05-12,186.62,204.88,98.02,142.75,237848
2025-05-13,160.11,234.21,90.75,102.54,192787
2025-05-14,170.81,222.01,99.87,110.79,227948
2025-05-15,102.06,206.1,97.72,103.14,155016
2025-05-16,196.99,224.76,91.99,163.64,121959
2025-05-17,183.24,201.72,90.06,131.44,236602
2025-05-18,121.23,245.47,98.15,150.86,325928
2025-05-19,118.18,212.94,97.07,190.76,481245
2025-05-20,118.34,233.13,97.29,124.93,365892
2025-05-21,130.42,215.59,97.71,141.04,328576
2025-05-22,152.48,226.0,90.74,175.56,113545
2025-05-23,143.19,227.34,93.58,122.88,489803
2025-05-24,129.12,209.24,91.16,107.7,265838
2025-05-25,161.19,248.48,98.63,128.98,435674
2025-05-26,113.95,238.76,96.23,116.12,455701
2025-05-27,129.21,246.97,93.31,192.97,161087
2025-05-28,136.64,244.74,90.64,180.81,168840
2025-05-29,145.61,229.89,93.11,163.34,218451
2025-05-30,178.52,246.09,93.25,187.15,413149
2025-05-31,119.97,204.42,97.3,180.37,139353
2025-06-01,151.42,209.8,96.38,118.66,293075
2025-06-02,159.24,202.26,98.87,189.26,314283
2025-06-03,104.65,216.27,94.72,153.93,414877
